content,tips,lesson,translation,mask
"ゴーカート","","35","［名］ 游戏汽车，玩具汽车","ゴーカート"
"テレビゲーム","","35","［名］ 电子游戏","テレビゲーム"
"ちゅうし（中止）","","35","［名］ 中止，中顿","中止"
"ひょうげん（表現）","","35","［名］ 表达，表现","表現"
"はんたい（反対）","","35","［名］ 反对","反対"
"えいぎょう（営業）","","35","［名］ 营业","営業"
"ざいこ（在庫）","","35","［名］ 库存，存货","在庫"
"おとな（大人）","","35","［名］ 大人，成人","大人"
"おじ","","35","［名］ 叔叔，伯伯，舅舅","おじ"
"しょうがくせい（小学生）","","35","［名］ 小学生","小学生"
"うちゅうひこうし（宇宙飛行士）","","35","［名］ 宇航员","宇宙飛行士"
"カタログ","","35","［名］ 目录","カタログ"
"たからくじ（宝くじ）","","35","［名］ 彩票","宝くじ"
"せいせき（成績）","","35","［名］ 成绩","成績"
"けいさん（計算）","","35","［名］ 计算","計算"
"けしゴム（消し～）","","35","［名］ 橡皮","消しゴム"
"は（葉）","","35","［名］ 叶子","葉"
"ビタミンざい（～剤）","","35","［名］ 维生素片剂","ビタミン剤"
"ちゅうこ（中古）","","35","［名］ 二手货，旧货","中古"
"きかい（機会）","","35","［名］ 机会","機会"
"きゅうじつ（休日）","","35","［名］ 休息日，假日","休日"
"こんかい（今回）","","35","［名］ 这次，这回","今回"
"こんげつ（今月）","","35","［名］ 这个月","今月"
"さいしゅうてんけん（最終点検）","","35","［名］ 最终检查","最終点検"
"ききます（効きます）","","35","［动1］ 有效，起作用","効きます"
"いわいます（祝います）","","35","［动1］ 祝贺","祝います"
"あたります（当たります）","","35","［动1］ 中（彩），抽中","当たります"
"あきます（空きます）","","35","［动1］ 空，有空","空きます"
"くさります（腐ります）","","35","［动1］ 腐烂，腐败","腐ります"
"みつけます（見つけます）","","35","［动2］ 找到，发现，看见","見つけます"
"はれます（晴れます）","","35","［动2］ 晴朗，天晴","晴れます"
"たずねます（訪ねます）","","35","［动2］ 访问，拜访","訪ねます"
"たいざいします（滞在～）","","35","［动3］ 停留，滞留","滞在します"
"きゅうけいします（休憩～）","","35","［动3］ 休息","休憩します"
"さんかします（参加～）","","35","［动3］ 参加","参加します"
"かんぱいします（乾杯～）","","35","［动3］ 干杯","乾杯します"
"へん","","35","［形2］ 不恰当，奇怪，反常","へん"
"かんぜん（完全）","","35","［形2］ 充分，完全","完全"
"ひつよう（必要）","","35","［形2］ 必要，必须","必要"
"だんだん","","35","［副］ 渐渐地，逐渐地","だんだん"
"もし","","35","［副］ 如果，假如","もし"
"あと","","35","あと","あと"
"きょく（曲）","","35","きょく（曲）","曲"
"さいしょ（最初）","","36","［名］ 开始的时候，最初","最初"
"しゅっしん（出身）","","36","［名］ 出生地","出身"
"こうじょう（工場）","","36","［名］ 工厂","工場"
"えんとつ（煙突）","","36","［名］ 烟筒","煙突"
"フライパン","","36","［名］ 平底锅","フライパン"
"たまごやき（卵焼き）","","36","［名］ 煎鸡蛋","卵焼き"
"グラウンド","","36","［名］ 操场，运动场","グラウンド"
"おくじょう（屋上）","","36","［名］ 屋顶上，屋顶","屋上"
"たこ（凧）","","36","［名］ 风筝","凧"
"テープ","","36","［名］ 磁带，音像带","テープ"
"どくしょ（読書）","","36","［名］ 读书","読書"
"しんせい（申請）","","36","［名］ 申请","申請"
"かんさいべん（関西弁）","","36","［名］ 关西话，关西方言","関西弁"
"にちじょうかいわ（日常会話）","","36","［名］ 日常会话","日常会話"
"にほんぶんか（日本文化）","","36","［名］ 日本文化","日本文化"
"せいさんコスト（生産～）","","36","［名］ 生产成本","生産コスト"
"こうつうじこ（交通事故）","","36","［名］ 交通事故","交通事故"
"ごしゅじん（ご主人）","","36","［名］ 您丈夫，您先生","ご主人"
"はかりうり（量り売り）","","36","［名］ 称斤卖，论重量卖","量り売り"
"わらいごえ（笑い声）","","36","［名］ 笑声","笑い声"
"もちあるきます（持ち歩きます）","","36","［动1］ 携带，拿着走","持ち歩きます"
"くりかえします（繰り返します）","","36","［动1］ 反复","繰り返します"
"さわぎます（騒ぎます）","","36","［动1］ 吵嚷，吵闹","騒ぎます"
"まにあいます（間に合います）","","36","［动1］ 来得及，赶得上","間に合います"
"なきます（鳴きます）","","36","［动1］ 叫，鸣，啼","鳴きます"
"ねむります（眠ります）","","36","［动1］ 睡觉","眠ります"
"なります（鳴ります）","","36","［动1］ 鸣响，响起","鳴ります"
"よろこびます（喜びます）","","36","［动1］ 喜悦，高兴","喜びます"
"やくだちます（役立ちます）","","36","［动1］ 有用，有益","役立ちます"
"やといます（雇います）","","36","［动1］ 雇佣","雇います"
"なきます（泣きます）","","36","［动1］ 哭，哭泣","泣きます"
"ふります（振ります）","","36","［动1］ 挥动，摆动","振ります"
"みえます（見えます）","","36","［动2］ 看到，看得见","見えます"
"きこえます（聞こえます）","","36","［动2］ 听到，听得见","聞こえます"
"つうじます（通じます）","","36","［动2］ 通过，相通","通じます"
"あげます（揚げます）","","36","［动2］ 放（风筝）；扬起","揚げます"
"なれます（慣れます）","","36","［动2］ 习惯","慣れます"
"ぬれます","","36","［动2］ 淋湿，打湿","ぬれます"
"やけます（焼けます）","","36","［动2］ 着火，燃烧","焼けます"
"さげます（下げます）","","36","［动2］ 降低，下降","下げます"
"しっぱいします（失敗～）","","36","［动3］ 出岔子，失败","失敗します"
"くろうします（苦労～）","","36","［动3］ 辛苦，辛劳","苦労します"
"びっくりします","","36","［动3］ 吃惊，吓一跳","びっくりします"
"しゅっせきします（出席～）","","36","［动3］ 出席","出席します"
"かなしい（悲しい）","","36","［形1］ 悲伤，悲哀","悲しい"
"ほんと","","36","［形2］ 真的","ほんと"
"とにかく","","36","［副］ 特别是，总之","とにかく"
"まだまだ","","36","［副］ 还，尚，仍","まだまだ"
"ぺらぺら","","36","［副］ 流利地","ぺらぺら"
"ワンワン","","36","［副］ （狗）汪汪（叫）","ワンワン"
"ザーザー","","36","［副］ （雨）哗啦哗啦","ザーザー"
"すやすや","","36","［副］ 香甜地，安静地","すやすや"
"くねくね","","36","［副］ 弯曲，弯弯曲曲","くねくね"
"メキシコ","","36","［专］ 墨西哥","メキシコ"
"斤（きん）","","36","斤","斤"
"ようじ（用事）","","37","［名］ 事情","用事"
"たいかい（大会）","","37","［名］ 大会","大会"
"きぼ（規模）","","37","［名］ 规模","規模"
"けいかく（計画）","","37","［名］ 计划","計画"
"きそく（規則）","","37","［名］ 规则","規則"
"ひよう（費用）","","37","［名］ 费用","費用"
"しお（塩）","","37","［名］ 盐，食盐","塩"
"メダル","","37","［名］ 纪念章，奖牌","メダル"
"ソフト","","37","［名］ 软件","ソフト"
"はんにん（犯人）","","37","［名］ 犯人，罪犯","犯人"
"かわ（川）","","37","［名］ 河，河流","川"
"てつどう（鉄道）","","37","［名］ 火车，铁路，铁道","鉄道"
"ぜんちょう（全長）","","37","［名］ 全长","全長"
"ばんごう（番号）","","37","［名］ 号码，番号","番号"
"たんい（単位）","","37","［名］ 计量单位","単位"
"こさじ（小さじ）","","37","［名］ 小匙，小勺","小さじ"
"ボリューム","","37","［名］ 音量","ボリューム"
"ちょくつうれっしゃ（直通列車）","","37","［名］ 直达列车","直通列車"
"せかいいさん（世界遺産）","","37","［名］ 世界遗产","世界遺産"
"かんこうスポット（観光～）","","37","［名］ 旅游点","観光スポット"
"こえます（超えます）","","37","［动2］ 超过","超えます"
"しゅつじょうします（出場～）","","37","［动3］ 参加，出场","出場します"
"しゃくほうします（釈放～）","","37","［动3］ 释放","釈放します"
"つまみぐいします（つまみ食い～）","","37","［动3］ 偷吃","つまみ食いします"
"かんさんします（換算～）","","37","［动3］ 换算","換算します"
"ふくしゅうします（復習～）","","37","［动3］ 复习","復習します"
"せいこうします（成功～）","","37","［动3］ 成功","成功します"
"よわい（弱い）","","37","［形1］ 弱，脆弱，柔弱","弱い"
"きびしい（厳しい）","","37","［形1］ 严厉，严格","厳しい"
"ぜいたく","","37","［形2］ 奢望，奢侈，过分","ぜいたく"
"こっそり","","37","［副］ 偷偷地，悄悄地","こっそり"
"さすが","","37","［副］ 不愧是，果然","さすが"
"じっさいに（実際に）","","37","［副］ 实地，实际上","実際に"
"とうだい（東大）","","37","［专］ 东大，东京大学","東大"
"はったつれい（八達嶺）","","37","［专］ 八达岭","八達嶺"
"ペキンきたえき（北京北駅）","","37","［专］ 北京北站","北京北駅"
"ちょっと","","37","ちょっと","ちょっと"
"いじょう（以上）","","37","以上","以上"
"り（里）","","37","り","里"
"まんり（万里）","","37","万里","万里"
"しょうひん（商品）","","38","［名］ 商品","商品"
"ごみばこ（ごみ箱）","","38","［名］ 垃圾箱","ごみ箱"
"コップ","","38","［名］ 杯子，杯","コップ"
"ペットボトル","","38","［名］ 塑料瓶","ペットボトル"
"エンジン","","38","［名］ 发动机，引擎","エンジン"
"タイヤ","","38","［名］ 轮胎","タイヤ"
"フートン（胡同）","","38","［名］ 胡同","胡同"
"ろじ（路地）","","38","［名］ 小巷，弄堂","路地"
"ヨウティアオ（油条）","","38","［名］ 油条","油条"
"にほんしょく（日本食）","","38","［名］ 日本食品","日本食"
"さしみ（刺身）","","38","［名］ 生鲜鱼，贝片","刺身"
"たな（棚）","","38","［名］ 橱柜，搁板","棚"
"たたみ（畳）","","38","［名］ 草席，草垫","畳"
"きもの（着物）","","38","［名］ 和服，衣服","着物"
"ぐあい（具合）","","38","［名］ 情况","具合"
"ひらがな（平仮名）","","38","［名］ 平假名","平仮名"
"あかちゃん（赤ちゃん）","","38","［名］ 婴儿，幼儿","赤ちゃん"
"はんぶん（半分）","","38","［名］ 一半","半分"
"さいしゅう（最終）","","38","［名］ 最终","最終"
"しあい（試合）","","38","［名］ 比赛，竞赛","試合"
"えいじしんぶん（英字新聞）","","38","［名］ 英文报纸","英字新聞"
"えいせいほうそう（衛星放送）","","38","［名］ 卫星广播","衛星放送"
"ストレス","","38","［名］ 精神紧张状态","ストレス"
"でんとうてき（伝統的）","","38","［名］ 传统的","伝統的"
"いりくみます（入り組みます）","","38","［动1］ 错综复杂","入り組みます"
"へります（減ります）","","38","［动1］ 减少","減ります"
"うごかします（動かします）","","38","［动1］ 开动，移动，摇动","動かします"
"かちます（勝ちます）","","38","［动1］ 取胜，获胜","勝ちます"
"とおりぬけます（通り抜けます）","","38","［动2］ 走得出去，穿过，通过","通り抜けます"
"かんじます（感じます）","","38","［动2］ 感觉，觉得","感じます"
"とりかえます（取り替えます）","","38","［动2］ 更换，交换","取り替えます"
"てつやします（徹夜～）","","38","［动3］ 熬通宵，彻夜","徹夜します"
"やけどします（火傷～）","","38","［动3］ 烫伤，烧伤","火傷します"
"なんだか","","38","［副］ 总觉得，总有点","なんだか"
"うえのどうぶつえん（上野動物園）","","38","［专］ 上野动物园","上野動物園"
"このへん（この辺）","","38","这一带，这附近，这儿","この辺"
"いそいで（急いで）","","38","急急忙忙地，匆忙地","急いで"
"むら（村）","","39","［名］ 村子，村庄","村"
"いね（稲）","","39","［名］ 稻子","稲"
"きり（霧）","","39","［名］ 雾","霧"
"もん（門）","","39","［名］ 城门，门，大门","門"
"ぶたい（舞台）","","39","［名］ 舞台","舞台"
"やね（屋根）","","39","［名］ 屋顶，房顶","屋根"
"るりがわら（瑠璃瓦）","","39","［名］ 琉璃瓦","瑠璃瓦"
"きいろ（黄色）","","39","［名］ 黄色，黄颜色","黄色"
"そら（空）","","39","［名］ 天空","空"
"バック","","39","［名］ 背景","バック"
"かしきり（貸し切り）","","39","［名］ 包租","貸し切り"
"いっぱん（一般）","","39","［名］ 一般","一般"
"そぼ（祖母）","","39","［名］ 祖母，外婆","祖母"
"おんがくかい（音楽会）","","39","［名］ 音乐会","音楽会"
"ジャズ","","39","［名］ 爵士乐","ジャズ"
"やがいコンサート（野外～）","","39","［名］ 露天音乐会","野外コンサート"
"えんだか（円高）","","39","［名］ 日元升值","円高"
"ゆしゅつ（輸出）","","39","［名］ 出口，输出","輸出"
"えいきょう（影響）","","39","［名］ 影响","影響"
"しげん（資源）","","39","［名］ 资源","資源"
"きおん（気温）","","39","［名］ 气温","気温"
"おき（沖）","","39","［名］ 海上，湖心","沖"
"かいがい（海外）","","39","［名］ 海外","海外"
"クジラ","","39","［名］ 鲸","クジラ"
"サメ","","39","［名］ 鲨鱼","サメ"
"ユーフォー（UFO）","","39","［名］ 不明飞行物","UFO"
"むかし（昔）","","39","［名］ 以前","昔"
"べつめい（別名）","","39","［名］ 别名","別名"
"ほう（方）","","39","［名］ 方，方面","方"
"どうろこうじ（道路工事）","","39","［名］ 道路施工","道路工事"
"つうきんラッシュ（通勤～）","","39","［名］ 上下班高峰","通勤ラッシュ"
"つうこうきんし（通行禁止）","","39","［名］ 禁止通行","通行禁止"
"とおく（遠く）","","39","［名］ 远处，远方","遠く"
"みわたします（見渡します）","","39","［动1］ 眺望，远眺","見渡します"
"つづきます（続きます）","","39","［动1］ 继续，持续","続きます"
"なくなります","","39","［动1］ 完，丢失","なくなります"
"そだちます（育ちます）","","39","［动1］ 生长，成长","育ちます"
"ふえます（増えます）","","39","［动2］ 增加，增多","増えます"
"つれます（連れます）","","39","［动2］ 带，领","連れます"
"けっせきします（欠席～）","","39","［动3］ 缺席","欠席します"
"ゆにゅうします（輸入～）","","39","［动3］ 进口，输入","輸入します"
"せっかく","","39","［副］ 好（不）容易，特意","せっかく"
"ぜったい（絶対）","","39","［副］ 绝对，一定","絶対"
"そうそう","","39","［叹］ 是的是的","そうそう"
"しきんじょう（紫禁城）","","39","［专］ 紫禁城","紫禁城"
"リットル","","39","リットル，litre，升","リットル"
"モノレール","","40","［名］ 单轨铁路，单轨电车","モノレール"
"オイル","","40","［名］ 油，润滑油","オイル"
"ダンス","","40","［名］ 跳舞，舞","ダンス"
"じだい（時代）","","40","［名］ 时代","時代"
"やくしゃ（役者）","","40","［名］ 演员","役者"
"むすめ（娘）","","40","［名］ 女儿","娘"
"こいぬ（子犬）","","40","［名］ 小狗","子犬"
"とかい（都会）","","40","［名］ 都会，城市","都会"
"げきじょう（劇場）","","40","［名］ 剧场，剧院","劇場"
"ししゃかい（試写会）","","40","［名］ 试映会，预映会","試写会"
"みみ（耳）","","40","［名］ 耳朵","耳"
"おく（奥）","","40","［名］ 里头，内部；深处","奥"
"きげん（機嫌）","","40","［名］ 情绪，心情","機嫌"
"せんじつ（先日）","","40","［名］ 前几天，前些天","先日"
"コピーき（～機）","","40","［名］ 复印机","コピー機"
"けん（券）","","40","［名］ 券，票","券"
"さいしゅうびん（最終便）","","40","［名］ 最晚航班","最終便"
"にゅじょうけん（入場券）","","40","［名］ 入场卷，门票","入場券"
"しょうたいけん（招待券）","","40","［名］ 招待券，请帖","招待券"
"かいすうけん（回数券）","","40","［名］ 回数券","回数券"
"むかいます（向かいます）","","40","［动1］ 往～去","向かいます"
"そろえます","","40","［动2］ 备齐，凑齐；使一致","そろえます"
"もれます（漏れます）","","40","［动2］ 漏，泄漏","漏れます"
"まとめます","","40","［动2］ 汇集；总结，整理","まとめます"
"かいつうします（開通～）","","40","［动3］ 开通","開通します"
"かいちくします（改築～）","","40","［动3］ 改建","改築します"
"かんせいします（完成～）","","40","［动3］ 完成","完成します"
"にゅうしゃします（入社～）","","40","［动3］ 入社","入社します"
"しん（清）","","40","［专］ 清，清代","清"
"おまたせしました（お待たせしました）","","40","让您久等了","お待たせしました"
"ことり（小鳥）","","41","［名］ 小鸟，鸟儿","小鳥"
"ばんぱく（万博）","","41","［名］ 世博会，万国博览会","万博"
"いせき（遺跡）","","41","［名］ 遗址，遗迹","遺跡"
"じょうし（上司）","","41","［名］ 上司","上司"
"すり","","41","［名］ 扒手，小偷","すり"
"せだい（世代）","","41","［名］ 世代；一代","世代"
"しじょう（市場）","","41","［名］ 市场","市場"
"ちょうさ（調査）","","41","［名］ 调查","調査"
"しゅっか（出荷）","","41","［名］ 上市，运出货物","出荷"
"せいちょう（成長）","","41","［名］ 成长","成長"
"あらし（嵐）","","41","［名］ 暴风雨，风暴","嵐"
"ダイナマイト","","41","［名］ 炸药","ダイナマイト"
"ネーミング","","41","［名］ 名称，命名，取名","ネーミング"
"コストダウン","","41","［名］ 降低成本","コストダウン"
"ていかかく（低価格）","","41","［名］ 低价（格）","低価格"
"ぎゅうにく（牛肉）","","41","［名］ 牛肉","牛肉"
"いっさくねん（一昨年）","","41","［名］ 前年","一昨年"
"おととし","","41","［名］ 前年","おととし"
"さくねん（昨年）","","41","［名］ 去年","昨年"
"こんご（今後）","","41","［名］ 今后","今後"
"すべて","","41","［名］ 全部，所有","すべて"
"びしょぬれ","","41","［名］ 落汤鸡，湿透，濡湿","びしょぬれ"
"みりょく（魅力）","","41","［名］ 吸引力，魅力","魅力"
"おしょくじけん（汚職事件）","","41","［名］ 贪污事件","汚職事件"
"しじょうちょうさ（市場調査）","","41","［名］ 市场调查","市場調査"
"こうつうじじょう（交通事情）","","41","［名］ 交通状况","交通事情"
"ごうべんがいしゃ（合弁会社）","","41","［名］ 合资公司","合弁会社"
"しかります","","41","［动1］ 训，责备，斥责","しかります"
"かみます","","41","［动1］ 咬，嚼","かみます"
"さそいます（誘います）","","41","［动1］ 邀请，约请","誘います"
"まきこみます（巻き込みます）","","41","［动1］ 卷入，卷进","巻き込みます"
"いたります（至ります）","","41","［动1］ 到达，达到","至ります"
"みつかります（見つかります）","","41","［动1］ 找到，发现","見つかります"
"ふみます（踏みます）","","41","［动1］ 踩，踏","踏みます"
"はかります（図ります）","","41","［动1］ 谋求；考虑","図ります"
"みこみます（見込みます）","","41","［动1］ 预料，估计","見込みます"
"ぬすみます（盗みます）","","41","［动1］ 盗取，偷盗","盗みます"
"おこします（起こします）","","41","［动1］ 叫醒，唤醒","起こします"
"ほめます","","41","［动2］ 表扬，赞扬","ほめます"
"もとめます（求めます）","","41","［动2］ 要求；追求；寻求","求めます"
"いじめます","","41","［动2］ 欺负，折磨，欺侮","いじめます"
"ぶつけます","","41","［动2］ 碰上，撞上；扔，投，掷","ぶつけます"
"はっけんします（発見～）","","41","［动3］ 发现","発見します"
"じしょくします（辞職～）","","41","［动3］ 辞职","辞職します"
"そうりつします（創立～）","","41","［动3］ 成立，创立","創立します"
"いらいします（依頼～）","","41","［动3］ 委托，请求","依頼します"
"はつばいします（発売～）","","41","［动3］ 上市，发售，出售","発売します"
"かいはつします（開発～）","","41","［动3］ 开发","開発します"
"せいぞうします（製造～）","","41","［动3］ 生产，制造","製造します"
"かんりします（管理～）","","41","［动3］ 管理","管理します"
"じつげんします（実現～）","","41","［动3］ 实现","実現します"
"せんれんします（洗練～）","","41","［动3］ 精炼，洗练","洗練します"
"ほうそうします（放送～）","","41","［动3］ 广播，播送","放送します"
"せいさんします（生産～）","","41","［动3］ 生产","生産します"
"ほんやくします（翻訳～）","","41","［动3］ 翻译，笔译","翻訳します"
"はつめいします（発明～）","","41","［动3］ 发明","発明します"
"はばひろい（幅広い）","","41","［形1］ 广泛，宽广，辽阔","幅広い"
"おおはば（大幅）","","41","［形2］ 大幅（度），广泛","大幅"
"たいりょう（大量）","","41","［形2］ 大量","大量"
"もっとも（最も）","","41","［副］ 最","最も"
"いやあ","","41","［叹］ 哎呀","いやあ"
"ニュートン","","41","［专］ 牛顿","ニュートン"
"ノーベル","","41","［专］ 诺贝尔","ノーベル"
"オーストラリア","","41","［专］ 澳大利亚","オーストラリア"
"シーエスコンス（CS公司）","","41","［专］ CS公司","CS公司"
"チンタオビール（青島～）","","41","［专］ 青岛啤酒","青島ビール"
"あキューせいでん（阿Q正伝）","","41","［专］ 阿Q正传","阿Q正伝"
"まいりました（参りました）","","41","真糟糕，真倒霉","参りました"
"ばんゆういんりょくのほうそく（万有引力の法則）","","41","万有引力定律","万有引力の法則"
"せきにんしゃ（責任者）","","42","［名］ 负责人","責任者"
"どうりょう（同僚）","","42","［名］ 同事","同僚"
"かんきゃく（観客）","","42","［名］ 观众","観客"
"くうふく（空腹）","","42","［名］ 空肚子，空腹，饿","空腹"
"かんき（換気）","","42","［名］ 换气","換気"
"るす（留守）","","42","［名］ 不在家","留守"
"こうどう（講堂）","","42","［名］ 讲堂","講堂"
"ひるま（昼間）","","42","［名］ 白天，白日","昼間"
"にってい（日程）","","42","［名］ 日程","日程"
"じかい（次回）","","42","［名］ 下次，下回","次回"
"めざまし（目覚まし）","","42","［名］ 闹钟；叫醒","目覚まし"
"アラーム","","42","［名］ 闹钟，闹铃","アラーム"
"きかくあん（企画案）","","42","［名］ 策划方案","企画案"
"おへんじ（お返事）","","42","［名］ 回信","お返事"
"いきさき（行き先）","","42","［名］ 去的地方，目的地","行き先"
"あずかります（預かります）","","42","［动1］ 保管，收存","預かります"
"きづきます（気づきます）","","42","［动1］ 发觉，发现","気づきます"
"ひやします（冷やします）","","42","［动1］ 冰镇，冷却","冷やします"
"おもいだします（思い出します）","","42","［动1］ 想起，想出","思い出します"
"つげます（告げます）","","42","［动2］ 说，告诉","告げます"
"ひえます（冷えます）","","42","［动2］ 变冷；感觉凉","冷えます"
"しんじます（信じます）","","42","［动2］ 相信，信任","信じます"
"おれます（折れます）","","42","［动2］ 折，断；拐弯","折れます"
"しゅっきんします（出勤～）","","42","［动3］ 上班，出勤","出勤します"
"セットします","","42","［动3］ 设定，设置","セットします"
"けんとうします（検討～）","","42","［动3］ 讨论","検討します"
"ただしい（正しい）","","42","［形1］ 正确的","正しい"
"とうぜん（当然）","","42","［形2］ 当然，应当","当然"
"たしか（確か）","","42","［形2］ 确实，确切；大概","確か"
"じょうぶ（丈夫）","","42","［形2］ 牢固，结实","丈夫"
"さっそく（早速）","","42","［副］ 马上，立即","早速"
"ちょくせつ（直接）","","42","［副］ 直接","直接"
"きっと","","42","［副］ 一定","きっと"
"だって","","42","［连］ 可是，但是","だって"
"にしちょうあんがい（西長安街）","","42","［专］ 西长安街","西長安街"
"るすにします（留守にします）","","42","不在家，无人在家","留守にします"
"おてつだい（お手伝い）","","43","［名］ 帮忙，帮助","お手伝い"
"のりかえ（乗り換え）","","43","［名］ 换车，换乘","乗り換え"
"かんがえ（考え）","","43","［名］ 想法，思想","考え"
"じょせいむけ（女性向け）","","43","［名］ 女性专用，专为女性","女性向け"
"もうしで（申し出）","","43","［名］ 申请，提议","申し出"
"かんじ（感じ）","","43","［名］ 感觉","感じ"
"おおく（多く）","","43","［名］ 多，多数","多く"
"ぶか（部下）","","43","［名］ 部下","部下"
"かんとく（監督）","","43","［名］ 教练，领队","監督"
"せんしゅ（選手）","","43","［名］ 运动员，选手","選手"
"しょうひしゃ（消費者）","","43","［名］ 消费者","消費者"
"あんないやく（案内役）","","43","［名］ 向导，导游","案内役"
"おや（親）","","43","［名］ 双亲，父母","親"
"プレゼンテーション","","43","［名］ 策划方案说明（会）","プレゼンテーション"
"プレゼン","","43","［名］ 策划方案说明（会）","プレゼン"
"アルファベット","","43","［名］ 英语字母，拉丁字母","アルファベット"
"イメージ","","43","［名］ 形象，印象","イメージ"
"インパクト","","43","［名］ 冲击力，力量感","インパクト"
"ガラス","","43","［名］ 玻璃，玻璃杯","ガラス"
"きぶん（気分）","","43","［名］ 情绪；（身体）舒适（与否）","気分"
"しんきんかん（親近感）","","43","［名］ 亲切感","親近感"
"ひんしつ（品質）","","43","［名］ 质量，品质","品質"
"ぶっか（物価）","","43","［名］ 物价","物価"
"めんぜいてん（免税店）","","43","［名］ 免税店","免税店"
"せつめいしょ（説明書）","","43","［名］ 说明书","説明書"
"じゅく（塾）","","43","［名］ 私塾，补习学校","塾"
"れいぶん（例文）","","43","［名］ 例句","例文"
"かいじょう（会場）","","43","［名］ 会场","会場"
"せつび（設備）","","43","［名］ 设备","設備"
"せんたくもの（洗濯物）","","43","［名］ 洗的衣服","洗濯物"
"もの","","43","［名］ 东西，事物","もの"
"じ（字）","","43","［名］ 字","字"
"つま（妻）","","43","［名］ 妻子","妻"
"われわれ（我々）","","43","［代］ 我们","我々"
"ひっぱります（引っ張ります）","","43","［动1］ 拉，拽","引っ張ります"
"うかびます（浮かびます）","","43","［动1］ 想起，浮，浮现","浮かびます"
"ととのいます（整います）","","43","［动1］ 齐备，完备","整います"
"かわきます（乾きます）","","43","［动1］ 干，干燥","乾きます"
"くらします（暮らします）","","43","［动1］ 生活","暮らします"
"さけます（避けます）","","43","［动2］ 回避，避免","避けます"
"うれます（売れます）","","43","［动2］ 好卖，畅销","売れます"
"うけます（受けます）","","43","［动2］ 感受，受到","受けます"
"あたためます（温めます）","","43","［动2］ 热，温","温めます"
"りかいします（理解～）","","43","［动3］ 理解","理解します"
"ていあんします（提案～）","","43","［动3］ 建议，提案","提案します"
"しさくします（試作～）","","43","［动3］ 试作，试制","試作します"
"けいけんします（経験～）","","43","［动3］ 经验，经历","経験します"
"あんきします（暗記～）","","43","［动3］ 熟记，背诵","暗記します"
"そうたいします（早退～）","","43","［动3］ 早退","早退します"
"きゅうしょくします（休職～）","","43","［动3］ （暂时）停职","休職します"
"ちからづよい（力強い）","","43","［形1］ 强有力；心里踏实","力強い"
"やわらかい（柔らかい）","","43","［形1］ 柔软","柔らかい"
"かたい（硬い）","","43","［形1］ 硬","硬い"
"あつい（厚い）","","43","［形1］ 厚","厚い"
"じゅうよう（重要）","","43","［形2］ 重要","重要"
"たんじゅん（単純）","","43","［形2］ 单纯","単純"
"りそうてき（理想的）","","43","［形2］ 理想","理想的"
"ぐたいてき（具体的）","","43","［形2］ 具体","具体的"
"ざんしん（斬新）","","43","［形2］ 新颖，崭新","斬新"
"ぐっと","","43","［副］ 更加；用力","ぐっと"
"たとえば（例えば）","","43","［副］ 比如，例如","例えば"
"しかも","","43","［连］ 而且","しかも"
"そこで","","43","［连］ 因此，于是，所以；那么","そこで"
"いうまでもなく（言うまでもなく）","","43","不言而喻","言うまでもなく"
"なんか","","43","等等","なんか"
"しゃいんりょこう（社員旅行）","","44","［名］ 员工旅行","社員旅行"
"しんにゅうしゃいん（新入社員）","","44","［名］ 新来的职员","新入社員"
"かいぎじょう（会議場）","","44","［名］ 会场","会議場"
"こくさいかいぎ（国際会議）","","44","［名］ 国际会议","国際会議"
"ビアガーデン","","44","［名］ 庭院式的啤酒店","ビアガーデン"
"おおがたスーパー（大型～）","","44","［名］ 大型超市","大型スーパー"
"みずうみ（湖）","","44","［名］ 湖","湖"
"パトカー","","44","［名］ 警车，巡逻车","パトカー"
"サイレン","","44","［名］ 警笛，警报器","サイレン"
"アニメ","","44","［名］ 动画片","アニメ"
"パワー","","44","［名］ 能力，力量","パワー"
"こころ（心）","","44","［名］ 心","心"
"たいど（態度）","","44","［名］ 态度","態度"
"せいかく（性格）","","44","［名］ 性格","性格"
"ひょうばん（評判）","","44","［名］ 评价，评论","評判"
"ぎょうれつ（行列）","","44","［名］ 行列，队伍","行列"
"ようき（容器）","","44","［名］ 容器","容器"
"ないよう（内容）","","44","［名］ 内容","内容"
"うれゆき（売れ行き）","","44","［名］ 销路，销售（情况）","売れ行き"
"のりもの（乗り物）","","44","［名］ 乘坐物","乗り物"
"あせ（汗）","","44","［名］ 汗","汗"
"ばい（倍）","","44","［名］ 倍，加倍","倍"
"たて（縦）","","44","［名］ 纵，竖","縦"
"ちゅうごくぜんど（中国全土）","","44","［名］ 全中国","中国全土"
"ちょうきよほう（長期予報）","","44","［名］ 长期预报","長期予報"
"わらい（笑い）","","44","［名］ 笑","笑い"
"あつさ（暑さ）","","44","［名］ 暑热，暑气","暑さ"
"うつくしさ（美しさ）","","44","［名］ 美好，美丽程度","美しさ"
"おもしろさ","","44","［名］ 趣味，有趣程度","おもしろさ"
"おおきさ（大きさ）","","44","［名］ 大小","大きさ"
"たかさ（高さ）","","44","［名］ 高度","高さ"
"ふかさ（深さ）","","44","［名］ 深度","深さ"
"ながさ（長さ）","","44","［名］ 长度","長さ"
"ひろさ（広さ）","","44","［名］ 面积","広さ"
